  1997 Jan- 6 to Jan-10,
  1999 Jul- 5 to Jul- 9,2.20
  1999 Jul- 5 to Jul- 9,2.19
  1999 Jul- 5 to Jul- 9,2.17
  1999 Jul-12 to Jul-16,2.12
  1999 Jul-12 to Jul-16,2.14
  1999 Jul-12 to Jul-16,2.16
  1999 Jul-12 to Jul-16,2.12
  1999 Jul-12 to Jul-16,2.18
  1999 Jul-19 to Jul-23,2.20
  1999 Jul-19 to Jul-23,2.24
  1999 Jul-19 to Jul-23,2.25
  1999 Jul-19 to Jul-23,2.32
  1999 Jul-19 to Jul-23,2.42
  1999 Jul-26 to Jul-30,2.55
  1999 Jul-26 to Jul-30,2.55
  1999 Jul-26 to Jul-30,2.58
  1999 Jul-26 to Jul-30,2.67
  1999 Jul-26 to Jul-30,2.55
  1999 Aug- 2 to Aug- 6,2.51
  1999 Aug- 2 to Aug- 6,2.61
  1999 Aug- 2 to Aug- 6,2.64
  1999 Aug- 2 to Aug- 6,2.69
  1999 Aug- 2 to Aug- 6,2.69
  1999 Aug- 9 to Aug-13,2.73
  1999 Aug- 9 to Aug-13,2.77
  1999 Aug- 9 to Aug-13,2.79
  1999 Aug- 9 to Aug-13,2.73
  1999 Aug- 9 to Aug-13,2.71
  1999 Aug-16 to Aug-20,2.73
  1999 Aug-16 to Aug-20,2.70
  1999 Aug-16 to Aug-20,2.75
  1999 Aug-16 to Aug-20,2.87
  1999 Aug-16 to Aug-20,2.97
  1999 Aug-23 to Aug-27,2.95
  1999 Aug-23 to Aug-27,3.01
  1999 Aug-23 to Aug-27,3.10
  1999 Aug-23 to Aug-27,2.97
  1999 Aug-23 to Aug-27,2.87
  1999 Aug-30 to Sep- 3,2.85
  1999 Aug-30 to Sep- 3,2.84
  1999 Aug-30 to Sep- 3,2.71
  1999 Aug-30 to Sep- 3,2.56
  1999 Aug-30 to Sep- 3,2.47
  1999 Sep- 6 to Sep-10,
  1999 Sep- 6 to Sep-10,2.56
  1999 Sep- 6 to Sep-10,2.66
  1999 Sep- 6 to Sep-10,2.75
  1999 Sep- 6 to Sep-10,2.84
  1999 Sep-13 to Sep-17,2.80
  1999 Sep-13 to Sep-17,2.66
  1999 Sep-13 to Sep-17,2.52
  1999 Sep-13 to Sep-17,2.47
  1999 Sep-13 to Sep-17,2.45
  1999 Sep-20 to Sep-24,2.49
  1999 Sep-20 to Sep-24,2.33
  1999 Sep-20 to Sep-24,2.30
  1999 Sep-20 to Sep-24,2.45
  1999 Sep-20 to Sep-24,2.54
  1999 Sep-27 to Oct- 1,2.51
  1999 Sep-27 to Oct- 1,2.52
  1999 Sep-27 to Oct- 1,2.57
  1999 Sep-27 to Oct- 1,2.31
  1999 Sep-27 to Oct- 1,2.39
  1999 Oct- 4 to Oct- 8,2.49
  1999 Oct- 4 to Oct- 8,2.45
  1999 Oct- 4 to Oct- 8,2.48
  1999 Oct- 4 to Oct- 8,2.49
  1999 Oct- 4 to Oct- 8,2.35
  1999 Oct-11 to Oct-15,2.53
  1999 Oct-11 to Oct-15,2.65
  1999 Oct-11 to Oct-15,2.81
  1999 Oct-11 to Oct-15,2.70
  1999 Oct-11 to Oct-15,2.66
  1999 Oct-18 to Oct-22,2.82
  1999 Oct-18 to Oct-22,2.89
  1999 Oct-18 to Oct-22,2.90
  1999 Oct-18 to Oct-22,2.99
  1999 Oct-18 to Oct-22,3.00
  1999 Oct-25 to Oct-29,2.98
  1999 Oct-25 to Oct-29,2.96
  1999 Oct-25 to Oct-29,3.02
  1999 Oct-25 to Oct-29,2.97
  1999 Oct-25 to Oct-29,2.76
  1999 Nov- 1 to Nov- 5,2.73
  1999 Nov- 1 to Nov- 5,2.81
  1999 Nov- 1 to Nov- 5,2.82
  1999 Nov- 1 to Nov- 5,2.75
  1999 Nov- 1 to Nov- 5,2.62
  1999 Nov- 8 to Nov-12,2.59
  1999 Nov- 8 to Nov-12,2.44
  1999 Nov- 8 to Nov-12,2.39
  1999 Nov- 8 to Nov-12,2.38
  1999 Nov- 8 to Nov-12,2.16
  1999 Nov-15 to Nov-19,2.33
  1999 Nov-15 to Nov-19,2.23
  1999 Nov-15 to Nov-19,2.24
  1999 Nov-15 to Nov-19,2.22
  1999 Nov-15 to Nov-19,2.16
  1999 Nov-22 to Nov-26,2.05
  1999 Nov-22 to Nov-26,1.99
  1999 Nov-22 to Nov-26,1.96
  1999 Nov-22 to Nov-26,
  1999 Nov-22 to Nov-26,
  1999 Nov-29 to Dec- 3,2.25
  1999 Nov-29 to Dec- 3,2.22
  1999 Nov-29 to Dec- 3,2.17
  1999 Nov-29 to Dec- 3,2.18
  1999 Nov-29 to Dec- 3,2.16
  1999 Dec- 6 to Dec-10,2.19
  1999 Dec- 6 to Dec-10,2.16
  1999 Dec- 6 to Dec-10,2.23
  1999 Dec- 6 to Dec-10,2.20
  1999 Dec- 6 to Dec-10,2.27
  1999 Dec-13 to Dec-17,2.35
  1999 Dec-13 to Dec-17,2.49
  1999 Dec-13 to Dec-17,2.54
  1999 Dec-13 to Dec-17,2.52
  1999 Dec-13 to Dec-17,2.55
  1999 Dec-20 to Dec-24,2.67
  1999 Dec-20 to Dec-24,2.59
  1999 Dec-20 to Dec-24,2.45
  1999 Dec-20 to Dec-24,2.42
  1999 Dec-20 to Dec-24,
  1999 Dec-27 to Dec-31,2.36
  1999 Dec-27 to Dec-31,2.32
  1999 Dec-27 to Dec-31,2.34
  1999 Dec-27 to Dec-31,2.30
  1999 Dec-27 to Dec-31,
  2000 Jan- 3 to Jan- 7,
  2000 Jan- 3 to Jan- 7,2.16
  2000 Jan- 3 to Jan- 7,2.17
  2000 Jan- 3 to Jan- 7,2.18
  2000 Jan- 3 to Jan- 7,2.19
  2000 Jan-10 to Jan-14,2.20
  2000 Jan-10 to Jan-14,2.23
  2000 Jan-10 to Jan-14,2.25
  2000 Jan-10 to Jan-14,2.29
  2000 Jan-10 to Jan-14,2.28
  2000 Jan-17 to Jan-21,
  2000 Jan-17 to Jan-21,2.35
  2000 Jan-17 to Jan-21,2.40
  2000 Jan-17 to Jan-21,2.53
  2000 Jan-17 to Jan-21,2.55
  2000 Jan-24 to Jan-28,2.55
  2000 Jan-24 to Jan-28,2.66
  2000 Jan-24 to Jan-28,2.73
  2000 Jan-24 to Jan-28,2.76
  2000 Jan-24 to Jan-28,2.84
  2000 Jan-31 to Feb- 4,2.69
  2000 Jan-31 to Feb- 4,2.81
  2000 Jan-31 to Feb- 4,2.91
  2000 Jan-31 to Feb- 4,2.85
  2000 Jan-31 to Feb- 4,2.78
  2000 Feb- 7 to Feb-11,2.81
  2000 Feb- 7 to Feb-11,2.60
  2000 Feb- 7 to Feb-11,2.62
  2000 Feb- 7 to Feb-11,2.65
  2000 Feb- 7 to Feb-11,2.65
  2000 Feb-14 to Feb-18,2.61
  2000 Feb-14 to Feb-18,2.61
  2000 Feb-14 to Feb-18,2.65
  2000 Feb-14 to Feb-18,2.66
  2000 Feb-14 to Feb-18,2.65
  2000 Feb-21 to Feb-25,
  2000 Feb-21 to Feb-25,2.55
  2000 Feb-21 to Feb-25,2.50
  2000 Feb-21 to Feb-25,2.52
  2000 Feb-21 to Feb-25,2.51
  2000 Feb-28 to Mar- 3,2.60
  2000 Feb-28 to Mar- 3,2.65
  2000 Feb-28 to Mar- 3,2.71
  2000 Feb-28 to Mar- 3,2.80
  2000 Feb-28 to Mar- 3,2.72
  2000 Mar- 6 to Mar-10,2.76
  2000 Mar- 6 to Mar-10,2.78
  2000 Mar- 6 to Mar-10,2.74
  2000 Mar- 6 to Mar-10,2.69
  2000 Mar- 6 to Mar-10,
  2000 Mar-13 to Mar-17,2.79
  2000 Mar-13 to Mar-17,2.83
  2000 Mar-13 to Mar-17,2.76
  2000 Mar-13 to Mar-17,2.84
  2000 Mar-13 to Mar-17,2.81
  2000 Mar-20 to Mar-24,2.73
  2000 Mar-20 to Mar-24,2.74
  2000 Mar-20 to Mar-24,2.78
  2000 Mar-20 to Mar-24,2.76
  2000 Mar-20 to Mar-24,2.82
  2000 Mar-27 to Mar-31,2.82
  2000 Mar-27 to Mar-31,2.94
  2000 Mar-27 to Mar-31,2.92
  2000 Mar-27 to Mar-31,2.83
  2000 Mar-27 to Mar-31,2.88
  2000 Apr- 3 to Apr- 7,2.92
  2000 Apr- 3 to Apr- 7,2.87
  2000 Apr- 3 to Apr- 7,2.86
  2000 Apr- 3 to Apr- 7,2.98
  2000 Apr- 3 to Apr- 7,2.99
  2000 Apr-10 to Apr-14,2.97
  2000 Apr-10 to Apr-14,2.98
  2000 Apr-10 to Apr-14,3.05
  2000 Apr-10 to Apr-14,3.05
  2000 Apr-10 to Apr-14,3.11
  2000 Apr-17 to Apr-21,3.13
  2000 Apr-17 to Apr-21,3.12
  2000 Apr-17 to Apr-21,3.12
  2000 Apr-17 to Apr-21,3.07
  2000 Apr-17 to Apr-21,
  2000 Apr-24 to Apr-28,3.12
  2000 Apr-24 to Apr-28,3.18
  2000 Apr-24 to Apr-28,3.12
  2000 Apr-24 to Apr-28,3.06
  2000 Apr-24 to Apr-28,3.09
  2000 May- 1 to May- 5,3.16
  2000 May- 1 to May- 5,3.20
  2000 May- 1 to May- 5,3.18
  2000 May- 1 to May- 5,3.09
  2000 May- 1 to May- 5,3.11
  2000 May- 8 to May-12,3.12
  2000 May- 8 to May-12,3.25
  2000 May- 8 to May-12,3.20
  2000 May- 8 to May-12,3.37
  2000 May- 8 to May-12,3.35
  2000 May-15 to May-19,3.37
  2000 May-15 to May-19,3.45
  2000 May-15 to May-19,3.49
  2000 May-15 to May-19,3.73
  2000 May-15 to May-19,3.76
  2000 May-22 to May-26,3.95
  2000 May-22 to May-26,3.85
  2000 May-22 to May-26,3.94
  2000 May-22 to May-26,4.18
  2000 May-22 to May-26,4.29
  2000 May-29 to Jun- 2,
  2000 May-29 to Jun- 2,4.35
  2000 May-29 to Jun- 2,4.52
  2000 May-29 to Jun- 2,4.39
  2000 May-29 to Jun- 2,4.21
  2000 Jun- 5 to Jun- 9,4.17
  2000 Jun- 5 to Jun- 9,4.48
  2000 Jun- 5 to Jun- 9,4.23
  2000 Jun- 5 to Jun- 9,3.96
  2000 Jun- 5 to Jun- 9,4.14
  2000 Jun-12 to Jun-16,4.22
  2000 Jun-12 to Jun-16,4.27
  2000 Jun-12 to Jun-16,4.16
  2000 Jun-12 to Jun-16,4.38
  2000 Jun-12 to Jun-16,4.45
  2000 Jun-19 to Jun-23,4.38
  2000 Jun-19 to Jun-23,4.02
  2000 Jun-19 to Jun-23,4.14
  2000 Jun-19 to Jun-23,4.44
  2000 Jun-19 to Jun-23,4.42
  2000 Jun-26 to Jun-30,4.37
  2000 Jun-26 to Jun-30,4.55
  2000 Jun-26 to Jun-30,4.44
  2000 Jun-26 to Jun-30,4.25
  2000 Jun-26 to Jun-30,4.36
  2000 Jul- 3 to Jul- 7,4.36
  2000 Jul- 3 to Jul- 7,
  2000 Jul- 3 to Jul- 7,4.24
  2000 Jul- 3 to Jul- 7,4.02
  2000 Jul- 3 to Jul- 7,4.00
  2000 Jul-10 to Jul-14,4.19
  2000 Jul-10 to Jul-14,4.17
  2000 Jul-10 to Jul-14,4.29
  2000 Jul-10 to Jul-14,4.08
  2000 Jul-10 to Jul-14,4.17
  2000 Jul-17 to Jul-21,4.13
  2000 Jul-17 to Jul-21,3.99
  2000 Jul-17 to Jul-21,4.07
  2000 Jul-17 to Jul-21,3.86
  2000 Jul-17 to Jul-21,3.88
  2000 Jul-24 to Jul-28,3.74
  2000 Jul-24 to Jul-28,3.63
  2000 Jul-24 to Jul-28,3.59
  2000 Jul-24 to Jul-28,3.75
  2000 Jul-24 to Jul-28,3.89
  2000 Jul-31 to Aug- 4,3.75
  2000 Jul-31 to Aug- 4,3.78
  2000 Jul-31 to Aug- 4,4.05
  2000 Jul-31 to Aug- 4,4.23
  2000 Jul-31 to Aug- 4,4.25
  2000 Aug- 7 to Aug-11,4.39
  2000 Aug- 7 to Aug-11,4.46
  2000 Aug- 7 to Aug-11,4.48
  2000 Aug- 7 to Aug-11,4.43
  2000 Aug- 7 to Aug-11,4.44
  2000 Aug-14 to Aug-18,4.42
  2000 Aug-14 to Aug-18,4.24
  2000 Aug-14 to Aug-18,4.24
  2000 Aug-14 to Aug-18,4.35
  2000 Aug-14 to Aug-18,4.38
  2000 Aug-21 to Aug-25,4.60
  2000 Aug-21 to Aug-25,4.80
  2000 Aug-21 to Aug-25,4.67
  2000 Aug-21 to Aug-25,4.53
  2000 Aug-21 to Aug-25,4.55
  2000 Aug-28 to Sep- 1,4.62
  2000 Aug-28 to Sep- 1,4.60
  2000 Aug-28 to Sep- 1,4.61
  2000 Aug-28 to Sep- 1,4.76
  2000 Aug-28 to Sep- 1,4.70
  2000 Sep- 4 to Sep- 8,
  2000 Sep- 4 to Sep- 8,4.81
  2000 Sep- 4 to Sep- 8,4.89
  2000 Sep- 4 to Sep- 8,4.85
  2000 Sep- 4 to Sep- 8,4.74
  2000 Sep-11 to Sep-15,4.85
  2000 Sep-11 to Sep-15,4.96
  2000 Sep-11 to Sep-15,5.06
  2000 Sep-11 to Sep-15,5.10
  2000 Sep-11 to Sep-15,5.28
  2000 Sep-18 to Sep-22,5.06
  2000 Sep-18 to Sep-22,5.22
  2000 Sep-18 to Sep-22,5.24
  2000 Sep-18 to Sep-22,5.16
  2000 Sep-18 to Sep-22,5.16
  2000 Sep-25 to Sep-29,5.12
  2000 Sep-25 to Sep-29,5.28
  2000 Sep-25 to Sep-29,5.34
  2000 Sep-25 to Sep-29,5.20
  2000 Sep-25 to Sep-29,5.10
  2000 Oct- 2 to Oct- 6,5.24
  2000 Oct- 2 to Oct- 6,5.29
  2000 Oct- 2 to Oct- 6,5.22
  2000 Oct- 2 to Oct- 6,5.21
  2000 Oct- 2 to Oct- 6,5.04
  2000 Oct- 9 to Oct-13,5.09
  2000 Oct- 9 to Oct-13,5.16
  2000 Oct- 9 to Oct-13,5.10
  2000 Oct- 9 to Oct-13,5.54
  2000 Oct- 9 to Oct-13,5.43
  2000 Oct-16 to Oct-20,5.34
  2000 Oct-16 to Oct-20,5.27
  2000 Oct-16 to Oct-20,5.36
  2000 Oct-16 to Oct-20,5.04
  2000 Oct-16 to Oct-20,4.84
  2000 Oct-23 to Oct-27,4.82
  2000 Oct-23 to Oct-27,4.84
  2000 Oct-23 to Oct-27,4.64
  2000 Oct-23 to Oct-27,4.61
  2000 Oct-23 to Oct-27,4.48
  2000 Oct-30 to Nov- 3,4.56
  2000 Oct-30 to Nov- 3,4.37
  2000 Oct-30 to Nov- 3,4.40
  2000 Oct-30 to Nov- 3,4.50
  2000 Oct-30 to Nov- 3,4.64
  2000 Nov- 6 to Nov-10,4.60
  2000 Nov- 6 to Nov-10,4.68
  2000 Nov- 6 to Nov-10,4.92
  2000 Nov- 6 to Nov-10,5.34
  2000 Nov- 6 to Nov-10,5.24
  2000 Nov-13 to Nov-17,5.59
  2000 Nov-13 to Nov-17,5.81
  2000 Nov-13 to Nov-17,5.95
  2000 Nov-13 to Nov-17,5.94
  2000 Nov-13 to Nov-17,5.62
  2000 Nov-20 to Nov-24,6.23
  2000 Nov-20 to Nov-24,6.35
  2000 Nov-20 to Nov-24,6.30
  2000 Nov-20 to Nov-24,
  2000 Nov-20 to Nov-24,
  2000 Nov-27 to Dec- 1,6.24
  2000 Nov-27 to Dec- 1,5.90
  2000 Nov-27 to Dec- 1,5.93
  2000 Nov-27 to Dec- 1,6.31
  2000 Nov-27 to Dec- 1,6.53
  2000 Dec- 4 to Dec- 8,7.41
  2000 Dec- 4 to Dec- 8,8.03
  2000 Dec- 4 to Dec- 8,8.75
  2000 Dec- 4 to Dec- 8,8.48
  2000 Dec- 4 to Dec- 8,8.13
  2000 Dec-11 to Dec-15,9.96
  2000 Dec-11 to Dec-15,8.58
  2000 Dec-11 to Dec-15,7.80
  2000 Dec-11 to Dec-15,7.48
  2000 Dec-11 to Dec-15,8.03
  2000 Dec-18 to Dec-22,9.28
  2000 Dec-18 to Dec-22,9.11
  2000 Dec-18 to Dec-22,9.95
  2000 Dec-18 to Dec-22,10.49
  2000 Dec-18 to Dec-22,10.48
  2000 Dec-25 to Dec-29,
  2000 Dec-25 to Dec-29,10.23
  2000 Dec-25 to Dec-29,9.58
  2000 Dec-25 to Dec-29,9.22
  2000 Dec-25 to Dec-29,10.48
  2001 Jan- 1 to Jan- 5,
  2001 Jan- 1 to Jan- 5,9.97
  2001 Jan- 1 to Jan- 5,9.71
  2001 Jan- 1 to Jan- 5,9.45
  2001 Jan- 1 to Jan- 5,10.03
  2001 Jan- 8 to Jan-12,10.31
  2001 Jan- 8 to Jan-12,9.95
  2001 Jan- 8 to Jan-12,9.91
  2001 Jan- 8 to Jan-12,8.95
  2001 Jan- 8 to Jan-12,8.75
  2001 Jan-15 to Jan-19,
  2001 Jan-15 to Jan-19,8.16
  2001 Jan-15 to Jan-19,7.85
  2001 Jan-15 to Jan-19,7.09
  2001 Jan-15 to Jan-19,7.61
  2001 Jan-22 to Jan-26,7.70
  2001 Jan-22 to Jan-26,7.02
  2001 Jan-22 to Jan-26,6.81
  2001 Jan-22 to Jan-26,6.81
  2001 Jan-22 to Jan-26,7.00
  2001 Jan-29 to Feb- 2,6.76
  2001 Jan-29 to Feb- 2,5.96
  2001 Jan-29 to Feb- 2,5.83
  2001 Jan-29 to Feb- 2,5.82
  2001 Jan-29 to Feb- 2,6.76
  2001 Feb- 5 to Feb- 9,6.15
  2001 Feb- 5 to Feb- 9,5.59
  2001 Feb- 5 to Feb- 9,5.67
  2001 Feb- 5 to Feb- 9,6.24
  2001 Feb- 5 to Feb- 9,6.24
  2001 Feb-12 to Feb-16,5.74
  2001 Feb-12 to Feb-16,5.58
  2001 Feb-12 to Feb-16,5.89
  2001 Feb-12 to Feb-16,5.35
  2001 Feb-12 to Feb-16,5.57
  2001 Feb-19 to Feb-23,
  2001 Feb-19 to Feb-23,5.17
  2001 Feb-19 to Feb-23,5.20
  2001 Feb-19 to Feb-23,5.11
  2001 Feb-19 to Feb-23,5.05
  2001 Feb-26 to Mar- 2,5.07
  2001 Feb-26 to Mar- 2,5.07
  2001 Feb-26 to Mar- 2,5.25
  2001 Feb-26 to Mar- 2,5.25
  2001 Feb-26 to Mar- 2,5.06
  2001 Mar- 5 to Mar- 9,5.32
  2001 Mar- 5 to Mar- 9,5.27
  2001 Mar- 5 to Mar- 9,5.22
  2001 Mar- 5 to Mar- 9,5.25
  2001 Mar- 5 to Mar- 9,5.13
  2001 Mar-12 to Mar-16,4.98
  2001 Mar-12 to Mar-16,5.08
  2001 Mar-12 to Mar-16,4.99
  2001 Mar-12 to Mar-16,5.27
  2001 Mar-12 to Mar-16,5.27
  2001 Mar-19 to Mar-23,5.27
  2001 Mar-19 to Mar-23,5.27
  2001 Mar-19 to Mar-23,5.16
  2001 Mar-19 to Mar-23,5.16
  2001 Mar-19 to Mar-23,5.16
  2001 Mar-26 to Mar-30,5.23
  2001 Mar-26 to Mar-30,5.47
  2001 Mar-26 to Mar-30,5.60
  2001 Mar-26 to Mar-30,5.31
  2001 Mar-26 to Mar-30,5.35
  2001 Apr- 2 to Apr- 6,5.25
  2001 Apr- 2 to Apr- 6,5.25
  2001 Apr- 2 to Apr- 6,5.24
  2001 Apr- 2 to Apr- 6,5.27
  2001 Apr- 2 to Apr- 6,5.33
  2001 Apr- 9 to Apr-13,5.45
  2001 Apr- 9 to Apr-13,5.55
  2001 Apr- 9 to Apr-13,5.45
  2001 Apr- 9 to Apr-13,5.32
  2001 Apr- 9 to Apr-13,
  2001 Apr-16 to Apr-20,5.48
  2001 Apr-16 to Apr-20,5.36
  2001 Apr-16 to Apr-20,5.15
  2001 Apr-16 to Apr-20,5.06
  2001 Apr-16 to Apr-20,5.00
  2001 Apr-23 to Apr-27,5.09
  2001 Apr-23 to Apr-27,5.13
  2001 Apr-23 to Apr-27,4.98
  2001 Apr-23 to Apr-27,4.92
  2001 Apr-23 to Apr-27,4.83
  2001 Apr-30 to May- 4,4.73
  2001 Apr-30 to May- 4,4.55
  2001 Apr-30 to May- 4,4.54
  2001 Apr-30 to May- 4,4.46
  2001 Apr-30 to May- 4,4.50
  2001 May- 7 to May-11,4.33
  2001 May- 7 to May-11,4.22
  2001 May- 7 to May-11,4.15
  2001 May- 7 to May-11,4.17
  2001 May- 7 to May-11,4.25
  2001 May-14 to May-18,4.28
  2001 May-14 to May-18,4.46
  2001 May-14 to May-18,4.46
  2001 May-14 to May-18,4.20
  2001 May-14 to May-18,4.15
  2001 May-21 to May-25,4.14
  2001 May-21 to May-25,4.04
  2001 May-21 to May-25,4.11
  2001 May-21 to May-25,4.12
  2001 May-21 to May-25,3.83
  2001 May-28 to Jun- 1,
  2001 May-28 to Jun- 1,3.86
  2001 May-28 to Jun- 1,3.66
  2001 May-28 to Jun- 1,3.73
  2001 May-28 to Jun- 1,3.70
  2001 Jun- 4 to Jun- 8,3.98
  2001 Jun- 4 to Jun- 8,3.93
  2001 Jun- 4 to Jun- 8,3.76
  2001 Jun- 4 to Jun- 8,3.68
  2001 Jun- 4 to Jun- 8,3.62
  2001 Jun-11 to Jun-15,3.91
  2001 Jun-11 to Jun-15,4.05
  2001 Jun-11 to Jun-15,4.13
  2001 Jun-11 to Jun-15,3.92
  2001 Jun-11 to Jun-15,3.86
  2001 Jun-18 to Jun-22,3.91
  2001 Jun-18 to Jun-22,3.96
  2001 Jun-18 to Jun-22,3.83
  2001 Jun-18 to Jun-22,3.69
  2001 Jun-18 to Jun-22,3.68
  2001 Jun-25 to Jun-29,3.56
  2001 Jun-25 to Jun-29,3.46
  2001 Jun-25 to Jun-29,3.39
  2001 Jun-25 to Jun-29,3.20
  2001 Jun-25 to Jun-29,2.91
  2001 Jul- 2 to Jul- 6,2.92
  2001 Jul- 2 to Jul- 6,3.00
  2001 Jul- 2 to Jul- 6,
  2001 Jul- 2 to Jul- 6,3.09
  2001 Jul- 2 to Jul- 6,2.99
  2001 Jul- 9 to Jul-13,3.10
  2001 Jul- 9 to Jul-13,3.20
  2001 Jul- 9 to Jul-13,3.21
  2001 Jul- 9 to Jul-13,3.29
  2001 Jul- 9 to Jul-13,3.15
  2001 Jul-16 to Jul-20,3.08
  2001 Jul-16 to Jul-20,3.14
  2001 Jul-16 to Jul-20,3.15
  2001 Jul-16 to Jul-20,3.01
  2001 Jul-16 to Jul-20,2.97
  2001 Jul-23 to Jul-27,3.02
  2001 Jul-23 to Jul-27,3.00
  2001 Jul-23 to Jul-27,3.06
  2001 Jul-23 to Jul-27,3.26
  2001 Jul-23 to Jul-27,3.06
  2001 Jul-30 to Aug- 3,3.28
  2001 Jul-30 to Aug- 3,3.31
  2001 Jul-30 to Aug- 3,3.27
  2001 Jul-30 to Aug- 3,3.15
  2001 Jul-30 to Aug- 3,3.06
  2001 Aug- 6 to Aug-10,3.07
  2001 Aug- 6 to Aug-10,3.16
  2001 Aug- 6 to Aug-10,3.11
  2001 Aug- 6 to Aug-10,3.10
  2001 Aug- 6 to Aug-10,2.99
  2001 Aug-13 to Aug-17,3.00
  2001 Aug-13 to Aug-17,3.05
  2001 Aug-13 to Aug-17,3.15
  2001 Aug-13 to Aug-17,3.46
  2001 Aug-13 to Aug-17,3.24
  2001 Aug-20 to Aug-24,3.17
  2001 Aug-20 to Aug-24,3.18
  2001 Aug-20 to Aug-24,3.20
  2001 Aug-20 to Aug-24,2.87
  2001 Aug-20 to Aug-24,2.77
  2001 Aug-27 to Aug-31,2.61
  2001 Aug-27 to Aug-31,2.57
  2001 Aug-27 to Aug-31,2.46
  2001 Aug-27 to Aug-31,2.47
  2001 Aug-27 to Aug-31,2.15
  2001 Sep- 3 to Sep- 7,
  2001 Sep- 3 to Sep- 7,2.23
  2001 Sep- 3 to Sep- 7,2.34
  2001 Sep- 3 to Sep- 7,2.43
  2001 Sep- 3 to Sep- 7,2.36
  2001 Sep-10 to Sep-14,2.38
  2001 Sep-10 to Sep-14,2.38
  2001 Sep-10 to Sep-14,2.44
  2001 Sep-10 to Sep-14,2.39
  2001 Sep-10 to Sep-14,2.41
  2001 Sep-17 to Sep-21,2.36
  2001 Sep-17 to Sep-21,2.18
  2001 Sep-17 to Sep-21,2.13
  2001 Sep-17 to Sep-21,2.06
  2001 Sep-17 to Sep-21,2.04
  2001 Sep-24 to Sep-28,1.99
  2001 Sep-24 to Sep-28,1.94
  2001 Sep-24 to Sep-28,1.88
  2001 Sep-24 to Sep-28,1.90
  2001 Sep-24 to Sep-28,1.80
  2001 Oct- 1 to Oct- 5,1.74
  2001 Oct- 1 to Oct- 5,1.83
  2001 Oct- 1 to Oct- 5,1.97
  2001 Oct- 1 to Oct- 5,2.13
  2001 Oct- 1 to Oct- 5,2.11
  2001 Oct- 8 to Oct-12,2.02
  2001 Oct- 8 to Oct-12,2.11
  2001 Oct- 8 to Oct-12,2.22
  2001 Oct- 8 to Oct-12,2.41
  2001 Oct- 8 to Oct-12,2.28
  2001 Oct-15 to Oct-19,2.26
  2001 Oct-15 to Oct-19,2.51
  2001 Oct-15 to Oct-19,2.61
  2001 Oct-15 to Oct-19,2.39
  2001 Oct-15 to Oct-19,2.31
  2001 Oct-22 to Oct-26,2.61
  2001 Oct-22 to Oct-26,2.82
  2001 Oct-22 to Oct-26,2.67
  2001 Oct-22 to Oct-26,3.15
  2001 Oct-22 to Oct-26,3.06
  2001 Oct-29 to Nov- 2,3.21
  2001 Oct-29 to Nov- 2,3.11
  2001 Oct-29 to Nov- 2,3.07
  2001 Oct-29 to Nov- 2,2.99
  2001 Oct-29 to Nov- 2,2.93
  2001 Nov- 5 to Nov- 9,2.87
  2001 Nov- 5 to Nov- 9,2.72
  2001 Nov- 5 to Nov- 9,2.73
  2001 Nov- 5 to Nov- 9,2.68
  2001 Nov- 5 to Nov- 9,2.61
  2001 Nov-12 to Nov-16,2.45
  2001 Nov-12 to Nov-16,2.38
  2001 Nov-12 to Nov-16,2.29
  2001 Nov-12 to Nov-16,1.99
  2001 Nov-12 to Nov-16,1.69
  2001 Nov-19 to Nov-23,2.08
  2001 Nov-19 to Nov-23,2.55
  2001 Nov-19 to Nov-23,1.91
  2001 Nov-19 to Nov-23,
  2001 Nov-19 to Nov-23,
  2001 Nov-26 to Nov-30,1.79
  2001 Nov-26 to Nov-30,1.87
  2001 Nov-26 to Nov-30,2.30
  2001 Nov-26 to Nov-30,2.19
  2001 Nov-26 to Nov-30,1.83
  2001 Dec- 3 to Dec- 7,2.10
  2001 Dec- 3 to Dec- 7,2.00
  2001 Dec- 3 to Dec- 7,1.89
  2001 Dec- 3 to Dec- 7,1.81
  2001 Dec- 3 to Dec- 7,2.11
  2001 Dec-10 to Dec-14,2.28
  2001 Dec-10 to Dec-14,2.58
  2001 Dec-10 to Dec-14,2.57
  2001 Dec-10 to Dec-14,2.40
  2001 Dec-10 to Dec-14,2.40
  2001 Dec-17 to Dec-21,2.40
  2001 Dec-17 to Dec-21,2.40
  2001 Dec-17 to Dec-21,2.40
  2001 Dec-17 to Dec-21,2.40
  2001 Dec-17 to Dec-21,2.40
  2001 Dec-24 to Dec-28,
  2001 Dec-24 to Dec-28,
  2001 Dec-24 to Dec-28,2.40
  2001 Dec-24 to Dec-28,2.40
  2001 Dec-24 to Dec-28,2.40
  2001 Dec-31 to Jan- 4,2.40
  2001 Dec-31 to Jan- 4,
  2001 Dec-31 to Jan- 4,2.55
  2001 Dec-31 to Jan- 4,2.58
  2001 Dec-31 to Jan- 4,2.58
  2002 Jan- 7 to Jan-11,2.58
  2002 Jan- 7 to Jan-11,2.39
  2002 Jan- 7 to Jan-11,2.31
  2002 Jan- 7 to Jan-11,2.32
  2002 Jan- 7 to Jan-11,2.32
  2002 Jan-14 to Jan-18,2.32
