  1997 Jan- 6 to Jan-10,
  1998 Dec-21 to Dec-25,2.05
  1998 Dec-21 to Dec-25,1.96
  1998 Dec-21 to Dec-25,1.88
  1998 Dec-21 to Dec-25,1.89
  1998 Dec-21 to Dec-25,
  1998 Dec-28 to Jan- 1,1.79
  1998 Dec-28 to Jan- 1,1.82
  1998 Dec-28 to Jan- 1,1.81
  1998 Dec-28 to Jan- 1,1.95
  1998 Dec-28 to Jan- 1,
  1999 Jan- 4 to Jan- 8,2.10
  1999 Jan- 4 to Jan- 8,2.05
  1999 Jan- 4 to Jan- 8,2.04
  1999 Jan- 4 to Jan- 8,1.91
  1999 Jan- 4 to Jan- 8,1.90
  1999 Jan-11 to Jan-15,1.83
  1999 Jan-11 to Jan-15,1.82
  1999 Jan-11 to Jan-15,1.87
  1999 Jan-11 to Jan-15,1.77
  1999 Jan-11 to Jan-15,1.78
  1999 Jan-18 to Jan-22,
  1999 Jan-18 to Jan-22,1.77
  1999 Jan-18 to Jan-22,1.81
  1999 Jan-18 to Jan-22,1.85
  1999 Jan-18 to Jan-22,1.82
  1999 Jan-25 to Jan-29,1.76
  1999 Jan-25 to Jan-29,1.73
  1999 Jan-25 to Jan-29,1.75
  1999 Jan-25 to Jan-29,1.75
  1999 Jan-25 to Jan-29,1.83
  1999 Feb- 1 to Feb- 5,1.75
  1999 Feb- 1 to Feb- 5,1.78
  1999 Feb- 1 to Feb- 5,1.80
  1999 Feb- 1 to Feb- 5,1.79
  1999 Feb- 1 to Feb- 5,1.81
  1999 Feb- 8 to Feb-12,1.81
  1999 Feb- 8 to Feb-12,1.82
  1999 Feb- 8 to Feb-12,1.80
  1999 Feb- 8 to Feb-12,1.78
  1999 Feb- 8 to Feb-12,1.82
  1999 Feb-15 to Feb-19,
  1999 Feb-15 to Feb-19,1.79
  1999 Feb-15 to Feb-19,1.79
  1999 Feb-15 to Feb-19,1.80
  1999 Feb-15 to Feb-19,1.79
  1999 Feb-22 to Feb-26,1.77
  1999 Feb-22 to Feb-26,1.75
  1999 Feb-22 to Feb-26,1.73
  1999 Feb-22 to Feb-26,1.64
  1999 Feb-22 to Feb-26,1.63
  1999 Mar- 1 to Mar- 5,1.65
  1999 Mar- 1 to Mar- 5,1.67
  1999 Mar- 1 to Mar- 5,1.68
  1999 Mar- 1 to Mar- 5,1.72
  1999 Mar- 1 to Mar- 5,1.74
  1999 Mar- 8 to Mar-12,1.87
  1999 Mar- 8 to Mar-12,1.86
  1999 Mar- 8 to Mar-12,1.94
  1999 Mar- 8 to Mar-12,1.87
  1999 Mar- 8 to Mar-12,1.81
  1999 Mar-15 to Mar-19,1.75
  1999 Mar-15 to Mar-19,1.75
  1999 Mar-15 to Mar-19,1.75
  1999 Mar-15 to Mar-19,1.75
  1999 Mar-15 to Mar-19,1.73
  1999 Mar-22 to Mar-26,1.74
  1999 Mar-22 to Mar-26,1.80
  1999 Mar-22 to Mar-26,1.79
  1999 Mar-22 to Mar-26,1.80
  1999 Mar-22 to Mar-26,1.83
  1999 Mar-29 to Apr- 2,1.80
  1999 Mar-29 to Apr- 2,1.89
  1999 Mar-29 to Apr- 2,2.02
  1999 Mar-29 to Apr- 2,1.95
  1999 Mar-29 to Apr- 2,
  1999 Apr- 5 to Apr- 9,2.03
  1999 Apr- 5 to Apr- 9,1.98
  1999 Apr- 5 to Apr- 9,2.03
  1999 Apr- 5 to Apr- 9,2.07
  1999 Apr- 5 to Apr- 9,2.10
  1999 Apr-12 to Apr-16,2.06
  1999 Apr-12 to Apr-16,2.14
  1999 Apr-12 to Apr-16,2.11
  1999 Apr-12 to Apr-16,2.14
  1999 Apr-12 to Apr-16,2.14
  1999 Apr-19 to Apr-23,2.10
  1999 Apr-19 to Apr-23,2.18
  1999 Apr-19 to Apr-23,2.17
  1999 Apr-19 to Apr-23,2.24
  1999 Apr-19 to Apr-23,2.23
  1999 Apr-26 to Apr-30,2.23
  1999 Apr-26 to Apr-30,2.32
  1999 Apr-26 to Apr-30,2.31
  1999 Apr-26 to Apr-30,2.37
  1999 Apr-26 to Apr-30,2.25
  1999 May- 3 to May- 7,2.23
  1999 May- 3 to May- 7,2.32
  1999 May- 3 to May- 7,2.36
  1999 May- 3 to May- 7,2.32
  1999 May- 3 to May- 7,2.25
  1999 May-10 to May-14,2.25
  1999 May-10 to May-14,2.29
  1999 May-10 to May-14,2.19
  1999 May-10 to May-14,2.21
  1999 May-10 to May-14,2.28
  1999 May-17 to May-21,2.31
  1999 May-17 to May-21,2.30
  1999 May-17 to May-21,2.27
  1999 May-17 to May-21,2.26
  1999 May-17 to May-21,2.21
  1999 May-24 to May-28,2.19
  1999 May-24 to May-28,2.18
  1999 May-24 to May-28,2.22
  1999 May-24 to May-28,2.27
  1999 May-24 to May-28,2.29
  1999 May-31 to Jun- 4,
  1999 May-31 to Jun- 4,2.34
  1999 May-31 to Jun- 4,2.36
  1999 May-31 to Jun- 4,2.35
  1999 May-31 to Jun- 4,2.31
  1999 Jun- 7 to Jun-11,2.41
  1999 Jun- 7 to Jun-11,2.38
  1999 Jun- 7 to Jun-11,2.39
  1999 Jun- 7 to Jun-11,2.37
  1999 Jun- 7 to Jun-11,2.30
  1999 Jun-14 to Jun-18,2.29
  1999 Jun-14 to Jun-18,2.28
  1999 Jun-14 to Jun-18,2.28
  1999 Jun-14 to Jun-18,2.24
  1999 Jun-14 to Jun-18,2.24
  1999 Jun-21 to Jun-25,2.22
  1999 Jun-21 to Jun-25,2.23
  1999 Jun-21 to Jun-25,2.25
  1999 Jun-21 to Jun-25,2.26
  1999 Jun-21 to Jun-25,2.27
  1999 Jun-28 to Jul- 2,2.25
  1999 Jun-28 to Jul- 2,2.33
  1999 Jun-28 to Jul- 2,2.34
  1999 Jun-28 to Jul- 2,2.29
  1999 Jun-28 to Jul- 2,2.26
  1999 Jul- 5 to Jul- 9,
  1999 Jul- 5 to Jul- 9,2.29
